,t,x,y,energy,sight
0,0.0,0.9168105716122461,0.1745437655692093,99.99997507952722,25
1,0.798,0.9582951854185227,0.17478940470336998,99.60146889686851,25
2,0.849,0.9609385644701923,0.17474202105145245,99.57604855316777,25
3,0.903,0.9637408267509668,0.17469852875973038,99.54911191464103,25
4,0.957,0.9665525703325443,0.17471176185676118,99.52211655642465,25
5,1.011,0.9693578053839843,0.1747649378629918,99.49515982677293,25
6,1.062,0.9720183009142357,0.174879882776948,99.46961677121247,25
7,1.116,0.9748235360875226,0.17499658494320383,99.44264773684375,25
8,1.167,0.9774581861790397,0.1751617745169463,99.41725286572995,25
9,1.221,0.9802614336104917,0.17531731613687357,99.3902844860567,25
10,1.269,0.9827501771898476,0.17550424699971304,99.36631166081219,25
11,1.32,0.985392167691994,0.17569955085316125,99.34085678471543,25
12,1.377,0.980409911987133,0.1759372554264674,99.31242885890538,25
13,1.434,0.9774612893185237,0.17612590942256276,99.28401908877943,25
14,1.491,0.9744993536556888,0.17631048021442902,99.25552593174861,25
15,1.542,0.9718577006460194,0.17644791456003156,99.23009648748769,25
16,1.59,0.9693731340551228,0.1766263523244713,99.20615430564365,25
17,1.641,0.9667261686061899,0.17684037187839347,99.1806584426314,25
18,1.695,0.9639134747938203,0.1771006321654815,99.15358030393875,25
19,1.746,0.9612547761708156,0.17730223109169763,99.12801578614668,25
20,1.8,0.9584448601808342,0.17758441758175425,99.10094186763853,25
21,1.851,0.9557867162819713,0.1778665715663869,99.07533417578404,25
22,1.902,0.9531293538562476,0.17815985273833085,99.04972379175416,25
23,1.953,0.9504677660157398,0.17845835526927972,99.02408283579486,25
24,2.007,0.9476646620564809,0.1788118106344993,98.9970009130634,25
25,2.058,0.9450250558958609,0.17916325311374928,98.97145835776276,25
26,2.106,0.942539899438288,0.1795560229188538,98.94735593901756,25
27,2.154,0.9400398514039084,0.17988907860114936,98.92321427336373,25
28,2.208,0.9372153953623046,0.18025890255900132,98.89598345833934,25
29,2.262,0.9343914290911666,0.18055402360166298,98.86881164819651,25
30,2.322,0.9312649996850062,0.18094566194075107,98.83864612116206,25
31,2.379,0.9282931643432013,0.18122365147037794,98.81004334494409,25
32,2.433,0.9254890424929737,0.18155565174630178,98.78297161752366,25
33,2.49,0.922526427724855,0.18196805907557345,98.75432805666871,25
34,2.544,0.9197047497022618,0.18228874014457647,98.72715306716304,25
35,2.604,0.9165654452758037,0.18271797683981467,98.6968745821539,25
36,2.658,0.9137612760912004,0.18317826160266729,98.66968773820132,25
37,2.721,0.9104837256294802,0.1837648080289625,98.63787816597748,25
38,2.778,0.9075086651118827,0.18422007258006176,98.60911613190386,25
39,2.838,0.9043828204616602,0.18476649076101564,98.57880737018057,25
40,2.898,0.9012514153922335,0.18527324078179974,98.54850565288235,25
41,2.958,0.898115058747532,0.18578186158734822,98.51817073866897,25
42,3.018,0.8949831413479521,0.18626980940250285,98.48788465707578,25
43,3.078,0.8918545172276879,0.18680407447935793,98.45757160951355,25
44,3.135,0.8888846194474495,0.1872533503214761,98.42884800630712,25
45,3.195,0.8857667555420987,0.18771815078334758,98.39867316498741,25
46,3.252,0.8827993805200196,0.18820233542530668,98.36993081245753,25
47,3.312,0.8796902507370478,0.1887613204719898,98.33971334283868,25
48,3.375,0.8764321101692645,0.1893174847293575,98.30805962561642,25
49,3.432,0.8734808721094272,0.1897738838535113,98.27944717857658,25
50,3.498,0.8700509029331851,0.19019549504475922,98.2463301595951,25
51,3.564,0.8665957951527059,0.1905432618854614,98.21310574002794,25
52,3.63,0.863148661987303,0.1909111632241421,98.17991879581479,25
53,3.693,0.8598789115001004,0.19132924163965212,98.1483220252586,25
54,3.753,0.8567634824017271,0.19181598548515372,98.1181413952674,25
55,3.81,0.853802470010271,0.19218560431696577,98.08954384195573,25
56,3.867,0.8508358858639132,0.1925935774768241,98.06087900632075,25
57,3.93,0.84755527735384,0.19312862318899704,98.0291057046521,25
58,3.993,0.8442689669030372,0.1936298351621827,97.99733010828741,25
59,4.056,0.8409898353533117,0.19422559340794623,97.96550011553882,25
60,4.122,0.8375282560635207,0.19476072280045129,97.93208284708993,25
61,4.185,0.8342064938714208,0.19519950446799875,97.90013889911896,25
62,4.251,0.8307364199491467,0.19566030666346407,97.86673546926554,25
63,4.314,0.8274332052426108,0.19610397984409708,97.83490505244109,25
64,4.383,0.8238210610030429,0.19656033019798502,97.80010356591974,25
