,t,x,y,energy
0,559.66,0.7564370741132916,0.18963575531619534,49.5423918239972
1,560.11,0.7381727350141791,0.21067408382364977,49.074108548479394
2,560.51,0.7224248684290172,0.2296404388648058,48.65767876419624
3,560.88,0.7084262659668219,0.24738593224550726,48.27279350354696
4,561.24,0.6944009480425497,0.2645713946971161,47.89774899194632
5,561.63,0.6793829314435454,0.28324581790212855,47.491578764374964
6,562.02,0.6638117229703344,0.30156613961334144,47.08593504523871
7,562.41,0.6480384763280124,0.3198997633689707,46.679696115415894
8,562.87,0.6669655294995809,0.34136593093068424,46.20054250588129
9,563.5,0.6928873631910769,0.3707652473739006,45.544310388475196
10,564.32,0.7280222577198908,0.4083916945742838,44.689780895297226
11,565.08,0.681928093359799,0.43324130719485165,43.89777795040057
12,565.53,0.6546354960413235,0.44795489361492463,43.428828838290706
13,566.11,0.6194583706086217,0.4669190716674632,42.82440553823799
14,567.09,0.6060600662434509,0.41294721004147716,41.80313858297651
15,568.01,0.5955629466699295,0.3621596725432736,40.845320074590326
16,568.41,0.5903476075046028,0.3402177326782157,40.4292446821144
17,568.76,0.5851816991126184,0.3210331089358661,40.06473027174699
18,569.09,0.5800741689355904,0.3030519460757316,39.72148607457807
19,569.43,0.5973768503835378,0.28925382134410216,39.367840538101
20,569.78,0.6151884342270131,0.2750498694144836,39.00379366231578
21,570.14,0.6335089204660161,0.2604400902868759,38.62934544722241
22,570.52,0.6528472114960749,0.24501865676329002,48.23409455351275
23,570.97,0.675208537607048,0.22648415938844152,47.766508699996095
24,571.4,0.6957922518829728,0.20831019611843535,47.319955530631276
25,571.77,0.6798745329087846,0.19162240821248566,46.93571210582899
26,572.12,0.6648172311764443,0.17583666289604677,46.57223859588088
27,572.46,0.6504443567535055,0.16041273137859519,46.21938839975925
28,572.9,0.6312211231579217,0.1407357885562413,45.762493402963806
29,573.38,0.6098891692597328,0.11938722332036181,45.26363298436871
30,573.73,0.6208479511730719,0.13701847677028253,44.89988059580979
31,574.1,0.6324329491957446,0.1556572304173416,44.515342356476076
32,574.46,0.6437048391637504,0.1737922339658315,44.14119704252976
33,574.81,0.6546636210770895,0.19142348741575224,43.77744465397084
34,575.15,0.6650270789534971,0.20858048298105972,43.42447937545033
35,575.49,0.6746776474102846,0.22593228483652741,43.07173568687064
36,575.83,0.6849255582845591,0.24315438338588416,42.71861784977966
37,576.18,0.6958868489699263,0.26083175243969225,42.3545928192992
38,576.51,0.7063722245889397,0.27749256133062894,42.01110007410705
39,576.86,0.7179886433854116,0.2950807822489375,41.64622828559358
40,577.2,0.7293469551935229,0.3121525578456928,41.29170352236227
41,577.54,0.7413129474763565,0.32897878940058695,40.93723759918194
42,577.88,0.7266829983867349,0.34457586272772484,40.58277167600161
43,578.22,0.7120530492971132,0.3601729360548628,40.228305752821285
44,578.54,0.6982836854480576,0.37485253448040434,39.89469076629862
45,578.88,0.683653736358436,0.39044960780754223,39.540224843118295
46,579.2,0.7074960745098425,0.38890659149408413,39.206609856595634
47,579.53,0.7320834857284806,0.38731535592083044,38.86256940174414
48,579.87,0.75741597001435,0.38567590108778116,38.50810347856381
49,580.21,0.7827484543002196,0.3840364462547319,38.15363755538348
50,580.57,0.809571084720552,0.3823005529020914,37.77832069554549
51,580.92,0.8356486420736527,0.3806128788092466,47.41342930403633
52,581.27,0.8617104191470093,0.37865253422834944,47.0484512385476
53,581.66,0.8908360934493622,0.3770587236123765,46.641679096214574
54,582.05,0.9200212448174067,0.3753704312448169,46.23457701199291
55,582.43,0.9484786512775638,0.374123203941566,45.837986980338535
56,582.76,0.9695603869985472,0.36439113627241565,45.49357984758605
57,583.09,0.9906421227195306,0.3546590686032653,45.14917271483357
58,583.43,1.0123626989169074,0.3446320897926255,44.79432900230071
59,583.79,1.0353609560670711,0.334015288699007,44.41861213020709
60,584.14,1.0577203727408415,0.3236933987468778,44.05333183789385
61,584.48,1.0794409489382182,0.313666419936238,53.69848812536099
62,584.81,1.1003541714242409,0.3038889936649631,53.35461575808659
63,585.13,1.1207827161494242,0.29450840201085293,53.020893303927046
64,585.45,1.141488586633715,0.2854064585512444,52.68694544643302
65,585.78,1.1629388710816284,0.27621810636610233,52.34279195752336
66,586.1,1.183656487028974,0.26723922166808534,52.0091915222881
67,586.43,1.2051104018817378,0.25806961654706634,51.66508235260725
68,586.76,1.2269597058323523,0.24937238718510918,51.320767561962036
69,587.09,1.2486607201348636,0.24032464507431403,50.97600734787876
70,587.41,1.2693956315738295,0.23113322310513645,50.64164888118539
71,587.74,1.2597363167980424,0.21397068424543914,50.29684171240785
72,588.08,1.2494320656144278,0.19639771323382352,49.94156120716082
73,588.4,1.2404042700786622,0.17961301894132362,49.60698173777608
74,588.87,1.2278419064811665,0.15487134749104361,49.116258506907876
75,589.4,1.2136997276381905,0.12707356083989366,48.56354295784016
76,589.78,1.2036160587556506,0.10706368881071171,48.166876818190985
77,590.1,1.1949194201274915,0.09033145966474168,47.83319548875658
78,590.44,1.214575545513626,0.07821723368749803,47.478659076232525
79,590.78,1.234638503722916,0.06650397882200754,47.12420061814493
80,591.12,1.255052589713167,0.05503628923856178,46.76935643623911
81,591.46,1.27515157959503,0.043369383824046266,46.414943239544684
82,591.79,1.2949525707197358,0.03225697722949549,46.07065340840877
83,592.12,1.3144369189337213,0.020718644539378762,45.725907200692276
84,592.45,1.290662720152678,0.009499830661409218,45.380827190456294
85,592.78,1.2712981027564483,0.03339157625609303,45.03612003479888
86,593.1,1.2523282404621687,0.0446275849127882,44.70134688027385
