,t,x,y,energy,sight
0,0.0,0.005856076643453956,0.3304090773802495,99.99998328324263,25
1,0.746,-0.013582780962752644,0.33099329961609025,99.62617102171694,25
2,0.78,0.046611432379796335,0.331042440029777,99.60911664234042,25
3,0.814,0.048388306650273445,0.3310746326729752,99.59207611408799,25
4,0.85,0.05026825015472978,0.33113390756011135,99.57403849651904,25
5,0.884,0.0520452262013506,0.33124237216140023,99.55697801707076,25
6,0.918,0.05382219414656032,0.3313651592504421,99.53991163751388,25
7,0.954,0.05570722965384284,0.33146571064119434,99.5218302589293,25
8,0.988,0.05749767257422385,0.3315156144002187,99.50470030745245,25
9,1.024,0.059384442353547506,0.3316021983620257,99.4866122728559,25
10,1.058,0.06116677140889838,0.331668575104517,99.46953079265751,25
11,1.092,0.06294016843571971,0.3317416287944416,99.45250475905618,25
12,1.128,0.06481104985342308,0.33185074975070133,99.43451076860413,25
13,1.162,0.06657796084363132,0.3319737272964223,99.41750851501088,25
14,1.198,0.06844965415705756,0.3321411544565639,99.39948184774417,25
15,1.232,0.0702204258818834,0.3322621797288818,99.38245580375511,25
16,1.27,0.07220106383530664,0.3324172467057026,99.36340759754138,25
17,1.304,0.07397327609159624,0.3325919967174563,99.3463437655775,25
18,1.34,0.07585116783367706,0.33274032199597914,99.3282878272067,25
19,1.374,0.07762620611688492,0.3329145959020393,99.31120629395926,25
20,1.412,0.07960276988545163,0.33316517994335537,99.29212169870625,25
21,1.448,0.08147672952683083,0.33336434207691057,99.27406081373044,25
22,1.486,0.0834563199530078,0.33361954096599666,99.2549532587897,25
23,1.528,0.08563528817395362,0.33392847809683457,99.23386839467177,25
24,1.568,0.0877095991016527,0.3342710785385908,99.21374628409751,25
25,1.612,0.08998794463068545,0.3347179900214245,99.19155366095544,25
26,1.652,0.09206540359954771,0.3351390345987121,99.17132093510173,25
27,1.694,0.09424041613703679,0.3355635418752058,99.15013820302471,25
28,1.734,0.0963182944100059,0.3359075389502875,99.12999210907724,25
29,1.774,0.09840315785204137,0.3362106246169333,99.10984205872678,25
30,1.814,0.10049627656581757,0.3365140729588475,99.08963938926685,25
31,1.854,0.10260246157958008,0.3367962998530422,99.06937265885331,25
32,1.904,0.10524849309123463,0.3371164644599995,99.04398120856472,25
33,1.952,0.10779169457421364,0.33742658534244613,99.01958415283555,25
34,1.994,0.11000930880888674,0.337692333702615,98.99828987772025,25
35,2.036,0.11224069858035553,0.3378998213607277,98.97694737713624,25
36,2.078,0.11448151321652966,0.3380412561778145,98.95557762538033,25
37,2.122,0.11682986825279473,0.3382057074460565,98.93317801291738,25
38,2.162,0.11896988539541335,0.33839659423853363,98.91276085854219,25
39,2.206,0.12131081662136331,0.3386359642528431,98.89036744396527,25
40,2.25,0.1236529594653459,0.3388094571598385,98.8680033282441,25
41,2.29,0.1257848161328604,0.33903157692180264,98.84761892176297,25
42,2.332,0.1280208592272052,0.33921340754698664,98.82626100837373,25
43,2.374,0.1302532731746212,0.3393345466761656,98.80495253949331,25
44,2.414,0.13239112901668348,0.3394195931505003,98.78459277331436,25
45,2.456,0.13462696454104833,0.3395177608096668,98.76326963997215,25
46,2.498,0.13687011633523208,0.3396432018780352,98.74189103836589,25
47,2.544,0.13931635679735904,0.3397818564619344,98.71854330399069,25
48,2.586,0.14153755646024788,0.33994536383659024,98.69728916254832,25
49,2.628,0.14376574372285003,0.3401130181208297,98.6759884539355,25
50,2.668,0.14589487793117734,0.34028290891310314,98.6556520174581,25
51,2.712,0.14824186732216854,0.34045434191940577,98.63325793455441,25
52,2.752,0.15037175857416485,0.34054686938397977,98.61294710718673,25
53,2.794,0.1526040835478461,0.3406523877373956,98.59164427568399,25
54,2.836,0.15482642363270088,0.3407658112789904,98.57040278671549,25
55,2.878,0.1570409959335452,0.34088268247558084,98.54920980098773,25
56,2.92,0.15924952031475176,0.3410050111136234,98.52805357931697,25
57,2.962,0.1614653586497967,0.3411122069440754,98.50685562903607,25
58,3.004,0.16368072802009484,0.34122826234642695,98.48565782324708,25
59,3.046,0.16590360049758196,0.34134542751595487,98.46441169102589,25
60,3.088,0.1681377763962401,0.34140186831779235,98.44310840333318,25
61,3.128,0.17026168819843063,0.3413913449606827,98.4228485342851,25
62,3.17,0.17248427708485267,0.3413957705789841,98.40162393721269,25
63,3.212,0.17470752900680703,0.3413467460626536,98.3803916660349,25
64,3.254,0.17694027853983726,0.3412732098977928,98.35909432094168,25
65,3.298,0.17926798688925355,0.3411340955844799,98.3368370727775,25
66,3.342,0.1815951783577209,0.34092800431364645,98.31455142485056,25
67,3.384,0.18382353507147858,0.34075345374212274,98.29324625579477,25
68,3.428,0.18616957780641535,0.34062533240367887,98.27087587547778,25
69,3.47,0.18839907592631383,0.3404653347382448,98.24957039207254,25
70,3.51,0.19052198159558273,0.34027581628831555,98.22926309606432,25
71,3.556,0.19294770660935964,0.3399905981024932,98.20596484208717,25
72,3.598,0.19516257967673417,0.33975321581704326,98.18470847317033,25
73,3.642,0.19747582861611285,0.33953713714982087,98.16250589896671,25
